Authors,Article Title,Source Title,Document Type,Cited Reference Count,"Times Cited, WoS Core",Publication Year,DOI,DOI Link,WOS ID
"Azevedo, RBR; Olofsson, P",A branching process model of evolutionary rescue,MATHEMATICAL BIOSCIENCES,Article,38,5,2021,10.1016/j.mbs.2021.108708,http://dx.doi.org/10.1016/j.mbs.2021.108708,WOS:000718005200001
"Maslo, B; Fefferman, NH",A case study of bats and white-nose syndrome demonstrating how to model population viability with evolutionary effects,CONSERVATION BIOLOGY,Article,47,44,2015,10.1111/cobi.12485,http://dx.doi.org/10.1111/cobi.12485,WOS:000357981200024
"Cotto, O; Wessely, J; Georges, D; Klonner, G; Schmid, M; Dullinger, S; Thuiller, W; Guillaume, F",A dynamic eco-evolutionary model predicts slow response of alpine plants to climate warming,NATURE COMMUNICATIONS,Article,54,152,2017,10.1038/ncomms15399,http://dx.doi.org/10.1038/ncomms15399,WOS:000400852600001
"Degottex-Fréy, F; Cheptou, PO",A model for evolutionary rescue through plant mating system,EVOLUTIONARY ECOLOGY,Article,43,3,2023,10.1007/s10682-023-10266-0,http://dx.doi.org/10.1007/s10682-023-10266-0,WOS:001090419200001
"COLDMAN, AJ; GOLDIE, JH",A MODEL FOR THE RESISTANCE OF TUMOR-CELLS TO CANCER CHEMOTHERAPEUTIC-AGENTS,MATHEMATICAL BIOSCIENCES,Article,9,129,1983,10.1016/0025-5564(83)90066-4,http://dx.doi.org/10.1016/0025-5564(83)90066-4,WOS:A1983RH54800009
"PEASE, CM; LANDE, R; BULL, JJ","A MODEL OF POPULATION-GROWTH, DISPERSAL AND EVOLUTION IN A CHANGING ENVIRONMENT",ECOLOGY,Article,35,261,1989,10.2307/1938100,http://dx.doi.org/10.2307/1938100,WOS:A1989CE15000013
"Converse, SJ; Bailey, LL; Mosher, BA; Funk, WC; Gerber, BD; Muths, E",A Model to Inform Management Actions as a Response to Chytridiomycosis-Associated Decline,ECOHEALTH,Article,52,20,2017,10.1007/s10393-016-1117-9,http://dx.doi.org/10.1007/s10393-016-1117-9,WOS:000403070700016
"JOSEPOVITS, G; DOBROVOLSZKY, A",A NOVEL MATHEMATICAL APPROACH TO THE PREVENTION OF FUNGICIDE RESISTANCE,PESTICIDE SCIENCE,Article,10,29,1985,10.1002/ps.2780160104,http://dx.doi.org/10.1002/ps.2780160104,WOS:A1985ABE2100003
"Czuppon, P; Day, T; Débarre, F; Blanquart, F","A stochastic analysis of the interplay between antibiotic dose, mode of action, and bacterial competition in the evolution of antibiotic resistance",PLOS COMPUTATIONAL BIOLOGY,Article,65,11,2023,10.1371/journal.pcbi.1011364,http://dx.doi.org/10.1371/journal.pcbi.1011364,WOS:001050842200008
"Jones, AG",A theoretical quantitative genetic study of negative ecological interactions and extinction times in changing environments,BMC EVOLUTIONARY BIOLOGY,Article,29,25,2008,10.1186/1471-2148-8-119,http://dx.doi.org/10.1186/1471-2148-8-119,WOS:000256401200001
"Khatri, BS; Burt, A",A theory of resistance to multiplexed gene drive demonstrates the significant role of weakly deleterious natural genetic variation,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Article,40,10,2022,10.1073/pnas.2200567119,http://dx.doi.org/10.1073/pnas.2200567119,WOS:000931973700020
"Schmid, M; Paniw, M; Postuma, M; Ozgul, A; Guillaume, F",A Trade-Off between Robustness to Environmental Fluctuations and Speed of Evolution,AMERICAN NATURALIST,Article; Early Access,91,12,2022,10.1086/719654,http://dx.doi.org/10.1086/719654,WOS:000798109000001
"Marrec, L; Bitbol, AF",Adapt or Perish: Evolutionary Rescue in a Gradually Deteriorating Environment,GENETICS,Article,83,18,2020,10.1534/genetics.120.303624,http://dx.doi.org/10.1534/genetics.120.303624,WOS:000578521400020
"Glémin, S; Ronfort, J",ADAPTATION AND MALADAPTATION IN SELFING AND OUTCROSSING SPECIES: NEW MUTATIONS VERSUS STANDING VARIATION,EVOLUTION,Article,69,109,2013,10.1111/j.1558-5646.2012.01778.x,http://dx.doi.org/10.1111/j.1558-5646.2012.01778.x,WOS:000313364500018
"Garnier, J; Cotto, O; Bouin, E; Bourgeron, T; Lepoutre, T; Ronce, O; Calvez, V",Adaptation of a quantitative trait to a changing environment: New analytical insights on the asexual and infinitesimal sexual models,THEORETICAL POPULATION BIOLOGY,Article,87,9,2023,10.1016/j.tpb.2023.04.002,http://dx.doi.org/10.1016/j.tpb.2023.04.002,WOS:001008873600001
"Chevin, LM; Lande, R; Mace, GM","Adaptation, Plasticity, and Extinction in a Changing Environment: Towards a Predictive Theory",PLOS BIOLOGY,Article,81,1469,2010,10.1371/journal.pbio.1000357,http://dx.doi.org/10.1371/journal.pbio.1000357,WOS:000278125500010
"LYNCH, M; GABRIEL, W; WOOD, AM",ADAPTIVE AND DEMOGRAPHIC RESPONSES OF PLANKTON POPULATIONS TO ENVIRONMENTAL-CHANGE,LIMNOLOGY AND OCEANOGRAPHY,Article,31,97,1991,10.4319/lo.1991.36.7.1301,http://dx.doi.org/10.4319/lo.1991.36.7.1301,WOS:A1991HE78400003
"Mestre, A; Butlin, RK; Hortal, J; Rafajlovic, M",Adaptive colonization across a parasitism-mutualism gradient,EVOLUTION LETTERS,Article,49,3,2024,10.1093/evlett/qrad061,http://dx.doi.org/10.1093/evlett/qrad061,WOS:001132859000001
