Authors,Article Title,Publication Year,DOI,WOS ID,
"Azevedo, RBR; Olofsson, P",A branching process model of evolutionary rescue,2021,10.1016/j.mbs.2021.108708,WOS:000718005200001,
"Maslo, B; Fefferman, NH",A case study of bats and white-nose syndrome demonstrating how to model population viability with evolutionary effects,2015,10.1111/cobi.12485,WOS:000357981200024,
"Cotto, O; Wessely, J; Georges, D; Klonner, G; Schmid, M; Dullinger, S; Thuiller, W; Guillaume, F",A dynamic eco-evolutionary model predicts slow response of alpine plants to climate warming,2017,10.1038/ncomms15399,WOS:000400852600001,
"Degottex-Fréy, F; Cheptou, PO",A model for evolutionary rescue through plant mating system,2023,10.1007/s10682-023-10266-0,WOS:001090419200001,
"COLDMAN, AJ; GOLDIE, JH",A MODEL FOR THE RESISTANCE OF TUMOR-CELLS TO CANCER CHEMOTHERAPEUTIC-AGENTS,1983,10.1016/0025-5564(83)90066-4,WOS:A1983RH54800009,
"PEASE, CM; LANDE, R; BULL, JJ","A MODEL OF POPULATION-GROWTH, DISPERSAL AND EVOLUTION IN A CHANGING ENVIRONMENT",1989,10.2307/1938100,WOS:A1989CE15000013,
"Converse, SJ; Bailey, LL; Mosher, BA; Funk, WC; Gerber, BD; Muths, E",A Model to Inform Management Actions as a Response to Chytridiomycosis-Associated Decline,2017,10.1007/s10393-016-1117-9,WOS:000403070700016,
"JOSEPOVITS, G; DOBROVOLSZKY, A",A NOVEL MATHEMATICAL APPROACH TO THE PREVENTION OF FUNGICIDE RESISTANCE,1985,10.1002/ps.2780160104,WOS:A1985ABE2100003,
"Czuppon, P; Day, T; Débarre, F; Blanquart, F","A stochastic analysis of the interplay between antibiotic dose, mode of action, and bacterial competition in the evolution of antibiotic resistance",2023,10.1371/journal.pcbi.1011364,WOS:001050842200008,
"Jones, AG",A theoretical quantitative genetic study of negative ecological interactions and extinction times in changing environments,2008,10.1186/1471-2148-8-119,WOS:000256401200001,
"Khatri, BS; Burt, A",A theory of resistance to multiplexed gene drive demonstrates the significant role of weakly deleterious natural genetic variation,2022,10.1073/pnas.2200567119,WOS:000931973700020,
"Schmid, M; Paniw, M; Postuma, M; Ozgul, A; Guillaume, F",A Trade-Off between Robustness to Environmental Fluctuations and Speed of Evolution,2022,10.1086/719654,WOS:000798109000001,
"Marrec, L; Bitbol, AF",Adapt or Perish: Evolutionary Rescue in a Gradually Deteriorating Environment,2020,10.1534/genetics.120.303624,WOS:000578521400020,
"Glémin, S; Ronfort, J",ADAPTATION AND MALADAPTATION IN SELFING AND OUTCROSSING SPECIES: NEW MUTATIONS VERSUS STANDING VARIATION,2013,10.1111/j.1558-5646.2012.01778.x,WOS:000313364500018,
"Garnier, J; Cotto, O; Bouin, E; Bourgeron, T; Lepoutre, T; Ronce, O; Calvez, V",Adaptation of a quantitative trait to a changing environment: New analytical insights on the asexual and infinitesimal sexual models,2023,10.1016/j.tpb.2023.04.002,WOS:001008873600001,
"Chevin, LM; Lande, R; Mace, GM","Adaptation, Plasticity, and Extinction in a Changing Environment: Towards a Predictive Theory",2010,10.1371/journal.pbio.1000357,WOS:000278125500010,
"LYNCH, M; GABRIEL, W; WOOD, AM",ADAPTIVE AND DEMOGRAPHIC RESPONSES OF PLANKTON POPULATIONS TO ENVIRONMENTAL-CHANGE,1991,10.4319/lo.1991.36.7.1301,WOS:A1991HE78400003,
"Wang, X; Fan, M; Hao, L",Adaptive evolution of body size subject to indirect effect in trophic cascade system,2017,10.1016/j.biosystems.2017.06.003,WOS:000408287100003,
"Scire, J; Hozé, N; Uecker, H",Aggressive or moderate drug therapy for infectious diseases? Trade-offs between different treatment goals at the individual and population levels,2019,10.1371/journal.pcbi.1007223,WOS:000489735000025,
"Kanarek, AR; Webb, CT","Allee effects, adaptive evolution, and invasion success",2010,10.1111/j.1752-4571.2009.00112.x,WOS:000274952800005,
"Knell, RJ; Parrett, JM",Alternative reproductive tactics and evolutionary rescue,2024,10.1093/evlett/qrae010,WOS:001185684800001,
"Haaland, TR; Botero, CA","Alternative responses to rare selection events are differentially vulnerable to changes in the frequency, scope, and intensity of environmental extremes",2019,10.1002/ece3.5675,WOS:000487885600001,
"Osmond, MM; Klausmeier, CA",An evolutionary tipping point in a changing environment,2017,10.1111/evo.13374,WOS:000417567000012,
NISSENME.S,ANALYSIS OF EFFECTS OF ANTIBIOTICS ON BACTERIA BY MEANS OF STOCHASTIC MODELS,1966,10.2307/2528073,WOS:A19668953900007,
"DeFilippo, LB; McManus, LC; Schindler, DE; Pinsky, ML; Colton, MA; Fox, HE; Tekwa, EW; Palumbi, SR; Essington, TE; Webster, MM",Assessing the potential for demographic restoration and assisted evolution to build climate resilience in coral reefs,2022,10.1002/eap.2650,WOS:000815856600001,
"Van Den Elzen, CL; Kleynhans, EJ; Otto, SP",Asymmetric competition impacts evolutionary rescue in a changing environment,2017,10.1098/rspb.2017.0374,WOS:000405955900005,
"Kuparinen, A; Uusi-Heikkilä, S",Atlantic cod recovery from the Allee effect zone: contrasting ecological and evolutionary rescue,2020,10.1111/faf.12470,WOS:000539804700001,
"Greenspoon, PB; Spencer, HG",Avoiding extinction under nonlinear environmental change: models of evolutionary rescue with plasticity,2021,10.1098/rsbl.2021.0459,WOS:000727661300003,
"Bourne, EC; Bocedi, G; Travis, JMJ; Pakeman, RJ; Brooker, RW; Schiffers, K","Between migration load and evolutionary rescue: dispersal, adaptation and the response of spatially structured populations to environmental change",2014,10.1098/rspb.2013.2795,WOS:000332382300010,
"de Mazancourt, C; Johnson, E; Barraclough, TG",Biodiversity inhibits species' evolutionary responses to changing environments,2008,10.1111/j.1461-0248.2008.01152.x,WOS:000254628000009,
"Jones, EI; Gomulkiewicz, R","Biotic Interactions, Rapid Evolution, and the Establishment of Introduced Species",2012,10.1086/663678,WOS:000299000400001,
"Mikaberidze, A; McDonald, BA; Bonhoeffer, S",Can High-Risk Fungicides be Used in Mixtures Without Selecting for Fungicide Resistance?,2014,10.1094/PHYTO-07-13-0204-R,WOS:000332850900001,
"Matuszewski, S; Hermisson, J; Kopp, M",Catch Me if You Can: Adaptation from Standing Genetic Variation to a Moving Phenotypic Optimum,2015,10.1534/genetics.115.178574,WOS:000359917000022,
"Hermann, RJ; Becks, L",Change in prey genotype frequency rescues predator from extinction,2022,10.1098/rsos.220211,WOS:000814416500005,
"Blechschmidt, J; Wittmann, MJ; Blüml, C",Climate Change and Green Sea Turtle Sex Ratio-Preventing Possible Extinction,2020,10.3390/genes11050588,WOS:000542276700110,
"Northfield, TD; Ives, AR",Coevolution and the Effects of Climate Change on Interacting Species,2013,10.1371/journal.pbio.1001685,WOS:000330350700017,
"Nuismer, SL; Week, B; Aizen, MA",Coevolution Slows the Disassembly of Mutualistic Networks,2018,10.1086/699218,WOS:000444262900009,
"Yacine, Y; Allhoff, KT; Weinbach, A; Loeuille, N",Collapse and rescue of evolutionary food webs under global warming,2021,10.1111/1365-2656.13405,WOS:000607184700001,
"Gralka, M; Fusco, D; Martis, S; Hallatschek, O",Convection shapes the trade-off between antibiotic efficacy and the selection for resistance in spatial gradients,2017,10.1088/1478-3975/aa7bb3,WOS:000406013100002,
"Henriques, GJB; Osmond, MM",Cooperation can promote rescue or lead to evolutionary suicide during environmental change,2020,10.1111/evo.14028,WOS:000540204000001,
"Hobbelen, PHF; Paveley, ND; van den Bosch, F",Delaying Selection for Fungicide Insensitivity by Mixing Fungicides at a Low and High Risk of Resistance Development: A Modeling Analysis,2011,10.1094/PHYTO-10-10-0290,WOS:000295185300011,
"Gomulkiewicz, R; Houle, D",Demographic and Genetic Constraints on Evolution,2009,10.1086/645086,WOS:000271425900002,
"Stoltz, SS; Griswold, CK; Husband, BC",Demographic and genetic factors affect the use of translocation for evolutionary rescue: A case study of American chestnut using simulation,2026,10.1111/1365-2664.70326,WOS:001720340100001,
"Draghi, JA; McGlothlin, JW; Kindsvater, HK",Demographic feedbacks during evolutionary rescue can slow or speed adaptive evolution,2024,10.1098/rspb.2023.1553,WOS:001161940700011,
"Reed, TE; Gienapp, P; Visser, ME",Density dependence and microevolution interactively determine effects of phenology mismatch on population dynamics,2015,10.1111/oik.01398,WOS:000347052300010,
"Helps, JC; Paveley, ND; White, S; van den Bosch, F",Determinants of optimal insecticide resistance management strategies,2020,10.1016/j.jtbi.2020.110383,WOS:000558086300006,
"COMINS, HN",DEVELOPMENT OF INSECTICIDE RESISTANCE IN PRESENCE OF MIGRATION,1977,10.1016/0022-5193(77)90119-9,WOS:A1977CX98200009,
"Riederer, JM; Weissing, FJ",Do alternative reproductive tactics facilitate evolutionary rescue? A comment on Knell & Parrett 2024,2026,10.1093/evlett/qraf049,WOS:001651395900001,
"Day, T; Read, AF",Does High-Dose Antimicrobial Chemotherapy Prevent the Evolution of Resistance?,2016,10.1371/journal.pcbi.1004689,WOS:000369366100023,
"Cheptou, PO",Does the evolution of self-fertilization rescue populations or increase the risk of extinction?,2019,10.1093/aob/mcy144,WOS:000462548600009,
"Muralidhar, P; Veller, C",Dominance shifts increase the likelihood of soft selective sweeps,2022,10.1111/evo.14459,WOS:000778851900001,
"Kepler, TB; Perelson, AS",Drug concentration heterogeneity facilitates the evolution of drug resistance,1998,10.1073/pnas.95.20.11514,WOS:000076222200006,
"Delaney, O; Brown, CRP; Letten, AD; Engelstäder, J",Drug mode of action and resource constraints modulate antimicrobial resistance evolution,2026,10.1016/j.jtbi.2025.112316,WOS:001629503400001,
"Komarova, NL; Wodarz, D",Drug resistance in cancer: Principles of emergence and prevention,2005,10.1073/pnas.0501870102,WOS:000230406000049,
"Kuosmanen, T; Cairns, J; Noble, R; Beerenwinkel, N; Mononen, T; Mustonen, V",Drug-induced resistance evolution necessitates less aggressive treatment,2021,10.1371/journal.pcbi.1009418,WOS:000702428100006,
"Wu, Y; Saddler, CA; Valckenborgh, F; Tanaka, MM",Dynamics of evolutionary rescue in changing environments and the emergence of antibiotic resistance,2014,10.1016/j.jtbi.2013.09.026,WOS:000327688800024,
"Weyerer, F; Weinbach, A; Zarfl, C; Allhoff, KT",Eco-evolutionary dynamics in two-species mutualistic systems: one-sided population decline triggers joint interaction disinvestment,2023,10.1007/s10682-023-10264-2,WOS:001080561000001,
"Patel, S; Lyberger, K; Vegvari, C; Gulbudak, H",Eco-evolutionary dynamics of anthelmintic resistance in soil-transmitted helminths,2025,10.1016/j.tpb.2025.03.006,WOS:001476234400001,
"Eriksson, M; Pontarp, M",Eco-Evolutionary Dynamics of Generalist and Specialist Pollinators Facing Plant Diversity Changes,2026,10.1002/ece3.73182,WOS:001703847700001,
"Henry, RC; Bocedi, G; Travis, JMJ",Eco-evolutionary dynamics of range shifts: Elastic margins and critical thresholds,2013,10.1016/j.jtbi.2012.12.004,WOS:000320216000001,
"Ferriere, R; Legendre, S","Eco-evolutionary feedbacks, adaptive dynamics and evolutionary rescue theory",2013,10.1098/rstb.2012.0081,WOS:000311946400003,
"DiRenzo, GV; Zipkin, EF; Grant, EHC; Royle, JA; Longo, AV; Zamudio, KR; Lips, KR",Eco-evolutionary rescue promotes host-pathogen coexistence,2018,10.1002/eap.1792,WOS:000451913200003,
